department_management.head	department_management.management	department_management.department
department_store.Customer_Orders	department_store.customer_orders_HAS_department_store.customers	department_store.Customers
aircraft.aircraft	aircraft.airport_aircraft	aircraft.airport
local_govt_and_lot.Services	local_govt_and_lot.services_HAS_local_govt_and_lot.organizations	local_govt_and_lot.Organizations
local_govt_and_lot.Residents	local_govt_and_lot.Residents_Services	local_govt_and_lot.Services
local_govt_and_lot.Customer_Events	local_govt_and_lot.customer_events_HAS_local_govt_and_lot.things	local_govt_and_lot.Things
local_govt_and_lot.Customer_Event_Notes	local_govt_and_lot.customer_event_notes_HAS_local_govt_and_lot.customer_events	local_govt_and_lot.Customer_Events
local_govt_and_lot.Customer_Events	local_govt_and_lot.customer_events_HAS_local_govt_and_lot.residents	local_govt_and_lot.Residents
local_govt_and_lot.Timed_Status_of_Things	local_govt_and_lot.timed_status_of_things_HAS_local_govt_and_lot.things	local_govt_and_lot.Things
local_govt_and_lot.Customer_Events	local_govt_and_lot.customer_events_HAS_local_govt_and_lot.customers	local_govt_and_lot.Customers
local_govt_and_lot.Things	local_govt_and_lot.things_HAS_local_govt_and_lot.organizations	local_govt_and_lot.Organizations
local_govt_and_lot.Residents	local_govt_and_lot.residents_HAS_local_govt_and_lot.properties	local_govt_and_lot.Properties
local_govt_and_lot.Timed_Locations_of_Things	local_govt_and_lot.timed_locations_of_things_HAS_local_govt_and_lot.things	local_govt_and_lot.Things
school_player.player	school_player.player_HAS_school_player.school	school_player.school
school_player.school_performance	school_player.school_performance_HAS_school_player.school	school_player.school
school_player.school_details	school_player.school_details_HAS_school_player.school	school_player.school
store_product.store_district	store_product.store_district_HAS_store_product.store	store_product.store
store_product.store_district	store_product.store_district_HAS_store_product.district	store_product.district
store_product.product	store_product.store_product	store_product.store
soccer_2.College	soccer_2.Tryout	soccer_2.Player
device.device	device.stock	device.shop
cre_Drama_Workshop_Groups.Services	cre_Drama_Workshop_Groups.services_HAS_cre_Drama_Workshop_Groups.drama_workshop_groups	cre_Drama_Workshop_Groups.Drama_Workshop_Groups
cre_Drama_Workshop_Groups.Bookings	cre_Drama_Workshop_Groups.bookings_HAS_cre_Drama_Workshop_Groups.clients	cre_Drama_Workshop_Groups.Clients
cre_Drama_Workshop_Groups.Bookings	cre_Drama_Workshop_Groups.Performers_in_Bookings	cre_Drama_Workshop_Groups.Performers
cre_Drama_Workshop_Groups.Invoices	cre_Drama_Workshop_Groups.invoices_HAS_cre_Drama_Workshop_Groups.customer_orders	cre_Drama_Workshop_Groups.Customer_Orders
cre_Drama_Workshop_Groups.Services	cre_Drama_Workshop_Groups.services_HAS_cre_Drama_Workshop_Groups.ref_service_types	cre_Drama_Workshop_Groups.Ref_Service_Types
cre_Drama_Workshop_Groups.Services	cre_Drama_Workshop_Groups.Bookings_Services	cre_Drama_Workshop_Groups.Bookings
cre_Drama_Workshop_Groups.Invoice_Items	cre_Drama_Workshop_Groups.invoice_items_HAS_cre_Drama_Workshop_Groups.invoices	cre_Drama_Workshop_Groups.Invoices
cre_Drama_Workshop_Groups.Invoices	cre_Drama_Workshop_Groups.invoices_HAS_cre_Drama_Workshop_Groups.ref_payment_methods	cre_Drama_Workshop_Groups.Ref_Payment_Methods
cre_Drama_Workshop_Groups.Stores	cre_Drama_Workshop_Groups.stores_HAS_cre_Drama_Workshop_Groups.marketing_regions	cre_Drama_Workshop_Groups.Marketing_Regions
cre_Drama_Workshop_Groups.Invoice_Items	cre_Drama_Workshop_Groups.invoice_items_HAS_cre_Drama_Workshop_Groups.order_items	cre_Drama_Workshop_Groups.Order_Items
cre_Drama_Workshop_Groups.Order_Items	cre_Drama_Workshop_Groups.order_items_HAS_cre_Drama_Workshop_Groups.customer_orders	cre_Drama_Workshop_Groups.Customer_Orders
cre_Drama_Workshop_Groups.Bookings	cre_Drama_Workshop_Groups.bookings_HAS_cre_Drama_Workshop_Groups.drama_workshop_groups	cre_Drama_Workshop_Groups.Drama_Workshop_Groups
manufactory_1.Products	manufactory_1.products_HAS_manufactory_1.manufacturers	manufactory_1.Manufacturers
tracking_software_problems.Problems	tracking_software_problems.problems_HAS_tracking_software_problems.staff	tracking_software_problems.Staff
tracking_software_problems.Problem_Log	tracking_software_problems.problem_log_HAS_tracking_software_problems.problem_status_codes	tracking_software_problems.Problem_Status_Codes
tracking_software_problems.Problem_Log	tracking_software_problems.problem_log_HAS_tracking_software_problems.problems	tracking_software_problems.Problems
tracking_software_problems.Problems	tracking_software_problems.problems_HAS_tracking_software_problems.product	tracking_software_problems.Product
tracking_software_problems.Problem_Log	tracking_software_problems.problem_log_HAS_tracking_software_problems.staff	tracking_software_problems.Staff
tracking_software_problems.Problem_Log	tracking_software_problems.problem_log_HAS_tracking_software_problems.problem_category_codes	tracking_software_problems.Problem_Category_Codes
shop_membership.branch	shop_membership.purchase	shop_membership.member
shop_membership.membership_register_branch	shop_membership.membership_register_branch_HAS_shop_membership.member	shop_membership.member
shop_membership.membership_register_branch	shop_membership.membership_register_branch_HAS_shop_membership.branch	shop_membership.branch
voter_2.Voting_record	voter_2.voting_record_HAS_voter_2.student	voter_2.Student
products_gen_characteristics.Products	products_gen_characteristics.products_HAS_products_gen_characteristics.ref_product_categories	products_gen_characteristics.Ref_Product_Categories
products_gen_characteristics.Characteristics	products_gen_characteristics.characteristics_HAS_products_gen_characteristics.ref_characteristic_types	products_gen_characteristics.Ref_Characteristic_Types
products_gen_characteristics.Products	products_gen_characteristics.Product_Characteristics	products_gen_characteristics.Characteristics
products_gen_characteristics.Products	products_gen_characteristics.products_HAS_products_gen_characteristics.ref_colors	products_gen_characteristics.Ref_Colors
swimming.swimmer	swimming.record	swimming.event
swimming.event	swimming.event_HAS_swimming.stadium	swimming.stadium
railway.railway	railway.railway_manage	railway.manager
railway.train	railway.train_HAS_railway.railway	railway.railway
customers_and_products_contacts.Customer_Orders	customers_and_products_contacts.customer_orders_HAS_customers_and_products_contacts.customers	customers_and_products_contacts.Customers
customers_and_products_contacts.Customer_Orders	customers_and_products_contacts.Order_Items	customers_and_products_contacts.Products
customers_and_products_contacts.Addresses	customers_and_products_contacts.Customer_Address_History	customers_and_products_contacts.Customers
dorm_1.Dorm	dorm_1.Lives_in	dorm_1.Student
dorm_1.Dorm_amenity	dorm_1.Has_amenity	dorm_1.Dorm
customer_complaints.Complaints	customer_complaints.complaints_HAS_customer_complaints.staff	customer_complaints.Staff
customer_complaints.Complaints	customer_complaints.complaints_HAS_customer_complaints.customers	customer_complaints.Customers
customer_complaints.Complaints	customer_complaints.complaints_HAS_customer_complaints.products	customer_complaints.Products
workshop_paper.workshop	workshop_paper.Acceptance	workshop_paper.submission
tracking_share_transactions.Transactions	tracking_share_transactions.transactions_HAS_tracking_share_transactions.investors	tracking_share_transactions.Investors
tracking_share_transactions.Lots	tracking_share_transactions.lots_HAS_tracking_share_transactions.investors	tracking_share_transactions.Investors
tracking_share_transactions.Sales	tracking_share_transactions.sales_HAS_tracking_share_transactions.transactions	tracking_share_transactions.Transactions
tracking_share_transactions.Transactions	tracking_share_transactions.transactions_HAS_tracking_share_transactions.ref_transaction_types	tracking_share_transactions.Ref_Transaction_Types
tracking_share_transactions.Transactions	tracking_share_transactions.Transactions_Lots	tracking_share_transactions.Lots
tracking_share_transactions.Purchases	tracking_share_transactions.purchases_HAS_tracking_share_transactions.transactions	tracking_share_transactions.Transactions
cre_Theme_park.Street_Markets	cre_Theme_park.street_markets_HAS_cre_Theme_park.tourist_attractions	cre_Theme_park.Tourist_Attractions
cre_Theme_park.Tourist_Attractions	cre_Theme_park.tourist_attractions_HAS_cre_Theme_park.ref_attraction_types	cre_Theme_park.Ref_Attraction_Types
cre_Theme_park.Tourist_Attractions	cre_Theme_park.tourist_attractions_HAS_cre_Theme_park.locations	cre_Theme_park.Locations
cre_Theme_park.Hotels	cre_Theme_park.hotels_HAS_cre_Theme_park.ref_hotel_star_ratings	cre_Theme_park.Ref_Hotel_Star_Ratings
cre_Theme_park.Features	cre_Theme_park.Tourist_Attraction_Features	cre_Theme_park.Tourist_Attractions
cre_Theme_park.Staff	cre_Theme_park.staff_HAS_cre_Theme_park.tourist_attractions	cre_Theme_park.Tourist_Attractions
cre_Theme_park.Royal_Family	cre_Theme_park.royal_family_HAS_cre_Theme_park.tourist_attractions	cre_Theme_park.Tourist_Attractions
cre_Theme_park.Museums	cre_Theme_park.museums_HAS_cre_Theme_park.tourist_attractions	cre_Theme_park.Tourist_Attractions
cre_Theme_park.Visits	cre_Theme_park.visits_HAS_cre_Theme_park.visitors	cre_Theme_park.Visitors
cre_Theme_park.Visits	cre_Theme_park.visits_HAS_cre_Theme_park.tourist_attractions	cre_Theme_park.Tourist_Attractions
cre_Theme_park.Shops	cre_Theme_park.shops_HAS_cre_Theme_park.tourist_attractions	cre_Theme_park.Tourist_Attractions
cre_Theme_park.Photos	cre_Theme_park.photos_HAS_cre_Theme_park.tourist_attractions	cre_Theme_park.Tourist_Attractions
cre_Theme_park.Theme_Parks	cre_Theme_park.theme_parks_HAS_cre_Theme_park.tourist_attractions	cre_Theme_park.Tourist_Attractions
game_1.Student	game_1.Plays_Games	game_1.Video_Games
game_1.SportsInfo	game_1.sportsinfo_HAS_game_1.student	game_1.Student
customers_and_addresses.Customer_Orders	customers_and_addresses.customer_orders_HAS_customers_and_addresses.customers	customers_and_addresses.Customers
customers_and_addresses.Customers	customers_and_addresses.Customer_Addresses	customers_and_addresses.Addresses
customers_and_addresses.Customer_Contact_Channels	customers_and_addresses.customer_contact_channels_HAS_customers_and_addresses.customers	customers_and_addresses.Customers
customers_and_addresses.Customer_Orders	customers_and_addresses.Order_Items	customers_and_addresses.Products
music_4.volume	music_4.volume_HAS_music_4.artist	music_4.artist
music_4.music_festival	music_4.music_festival_HAS_music_4.volume	music_4.volume
roller_coaster.roller_coaster	roller_coaster.roller_coaster_HAS_roller_coaster.country	roller_coaster.country
ship_1.captain	ship_1.captain_HAS_ship_1.ship	ship_1.Ship
city_record.hosting_city	city_record.hosting_city_HAS_city_record.city	city_record.city
city_record.temperature	city_record.temperature_HAS_city_record.city	city_record.city
city_record.hosting_city	city_record.hosting_city_HAS_city_record.match	city_record.match
e_government.Forms	e_government.Party_Forms	e_government.Parties
e_government.Individuals	e_government.Organization_Contact_Individuals	e_government.Organizations
e_government.Forms	e_government.forms_HAS_e_government.services	e_government.Services
e_government.Parties	e_government.Party_Services	e_government.Services
e_government.Parties	e_government.Party_Addresses	e_government.Addresses
school_bus.driver	school_bus.school_bus	school_bus.school
flight_company.flight	flight_company.flight_HAS_flight_company.operate_company	flight_company.operate_company
flight_company.flight	flight_company.flight_HAS_flight_company.airport	flight_company.airport
cre_Docs_and_Epenses.Accounts	cre_Docs_and_Epenses.accounts_HAS_cre_Docs_and_Epenses.statements	cre_Docs_and_Epenses.Statements
cre_Docs_and_Epenses.Documents	cre_Docs_and_Epenses.documents_HAS_cre_Docs_and_Epenses.projects	cre_Docs_and_Epenses.Projects
cre_Docs_and_Epenses.Documents_with_Expenses	cre_Docs_and_Epenses.documents_with_expenses_HAS_cre_Docs_and_Epenses.documents	cre_Docs_and_Epenses.Documents
cre_Docs_and_Epenses.Statements	cre_Docs_and_Epenses.statements_HAS_cre_Docs_and_Epenses.documents	cre_Docs_and_Epenses.Documents
cre_Docs_and_Epenses.Documents_with_Expenses	cre_Docs_and_Epenses.documents_with_expenses_HAS_cre_Docs_and_Epenses.ref_budget_codes	cre_Docs_and_Epenses.Ref_Budget_Codes
cre_Docs_and_Epenses.Documents	cre_Docs_and_Epenses.documents_HAS_cre_Docs_and_Epenses.ref_document_types	cre_Docs_and_Epenses.Ref_Document_Types
scientist_1.Projects	scientist_1.AssignedTo	scientist_1.Scientists
wine_1.appellations	wine_1.wine	wine_1.grapes
train_station.station	train_station.train_station	train_station.train
driving_school.Lessons	driving_school.lessons_HAS_driving_school.staff	driving_school.Staff
driving_school.Customers	driving_school.customers_HAS_driving_school.addresses	driving_school.Addresses
driving_school.Customer_Payments	driving_school.customer_payments_HAS_driving_school.customers	driving_school.Customers
driving_school.Lessons	driving_school.lessons_HAS_driving_school.vehicles	driving_school.Vehicles
driving_school.Lessons	driving_school.lessons_HAS_driving_school.customers	driving_school.Customers
driving_school.Staff	driving_school.staff_HAS_driving_school.addresses	driving_school.Addresses
activity_1.Activity	activity_1.Faculty_Participates_in	activity_1.Faculty
activity_1.Activity	activity_1.Participates_in	activity_1.Student
tracking_orders.Shipments	tracking_orders.shipments_HAS_tracking_orders.orders	tracking_orders.Orders
tracking_orders.Order_Items	tracking_orders.order_items_HAS_tracking_orders.orders	tracking_orders.Orders
tracking_orders.Shipments	tracking_orders.Shipment_Items	tracking_orders.Order_Items
tracking_orders.Shipments	tracking_orders.shipments_HAS_tracking_orders.invoices	tracking_orders.Invoices
tracking_orders.Order_Items	tracking_orders.order_items_HAS_tracking_orders.products	tracking_orders.Products
tracking_orders.Orders	tracking_orders.orders_HAS_tracking_orders.customers	tracking_orders.Customers
culture_company.culture_company	culture_company.culture_company_HAS_culture_company.movie	culture_company.movie
culture_company.culture_company	culture_company.culture_company_HAS_culture_company.book_club	culture_company.book_club
